,Metric,Validation,Test
0,Accuracy,0.9748427672955975,0.9090909090909091
1,Precision,0.9843290891283056,0.906832298136646
2,Recall,0.9882005899705014,1.0
3,F1 Score,0.9862610402355251,0.9511400651465798
